Commit Hash,ClassQualifiedName,LOC,LCOM,CBO,WMC
6ceb19d6fd6e9009ff0199c3de935803cf5d754a,org.zakky.memopad.CanvasFragment,117,56,8,25
6ceb19d6fd6e9009ff0199c3de935803cf5d754a,org.zakky.memopad.MyDialogFragment,35,0,9,6
6ceb19d6fd6e9009ff0199c3de935803cf5d754a,org.zakky.memopad.PadActivity,179,100,15,29
6ceb19d6fd6e9009ff0199c3de935803cf5d754a,org.zakky.memopad.PaintView,265,137,26,48
6ceb19d6fd6e9009ff0199c3de935803cf5d754a,org.zakky.memopad.PenConfigActionProvider,131,0,9,32
5cc983563152803eb313210a6aa8e84bb39d8bf6,org.zakky.smart_tag_app.MediaUtils,91,10,10,15
5cc983563152803eb313210a6aa8e84bb39d8bf6,org.zakky.smart_tag_app.SmartTagAppActivity,121,0,18,16
5cc983563152803eb313210a6aa8e84bb39d8bf6,org.zakky.smart_tag_app.SmartTagTask,35,4,5,8
5cc983563152803eb313210a6aa8e84bb39d8bf6,org.zakky.memopad.BgConfigActionProvider,112,0,7,26
5cc983563152803eb313210a6aa8e84bb39d8bf6,org.zakky.memopad.CanvasFragment,117,56,8,25
5cc983563152803eb313210a6aa8e84bb39d8bf6,org.zakky.memopad.MyDialogFragment,35,0,9,6
5cc983563152803eb313210a6aa8e84bb39d8bf6,org.zakky.memopad.PadActivity,179,100,15,29
5cc983563152803eb313210a6aa8e84bb39d8bf6,org.zakky.memopad.PaintView,265,137,26,48
5cc983563152803eb313210a6aa8e84bb39d8bf6,org.zakky.memopad.PenConfigActionProvider,131,0,9,32
68b8dc6bb11d11f511206cdb753bd26321017cd0,org.zakky.smart_tag_app.MediaUtils,91,10,10,15
68b8dc6bb11d11f511206cdb753bd26321017cd0,org.zakky.smart_tag_app.SmartTagAppActivity,121,0,18,16
68b8dc6bb11d11f511206cdb753bd26321017cd0,org.zakky.smart_tag_app.SmartTagTask,35,4,5,8
68b8dc6bb11d11f511206cdb753bd26321017cd0,org.zakky.memopad.BgConfigActionProvider,112,0,7,26
68b8dc6bb11d11f511206cdb753bd26321017cd0,org.zakky.memopad.CanvasFragment,117,56,8,25
68b8dc6bb11d11f511206cdb753bd26321017cd0,org.zakky.memopad.MyDialogFragment,35,0,9,6
68b8dc6bb11d11f511206cdb753bd26321017cd0,org.zakky.memopad.PadActivity,179,100,15,29
68b8dc6bb11d11f511206cdb753bd26321017cd0,org.zakky.memopad.PaintView,265,137,26,48
68b8dc6bb11d11f511206cdb753bd26321017cd0,org.zakky.memopad.PenConfigActionProvider,131,0,9,32
9daa6c4bb0cd117b1befef5bc1749ffade774b81,org.zakky.smart_tag_app.MediaUtils,91,10,10,15
9daa6c4bb0cd117b1befef5bc1749ffade774b81,org.zakky.smart_tag_app.SmartTagAppActivity,121,0,18,16
9daa6c4bb0cd117b1befef5bc1749ffade774b81,org.zakky.smart_tag_app.SmartTagTask,35,4,5,8
9daa6c4bb0cd117b1befef5bc1749ffade774b81,org.zakky.memopad.BgConfigActionProvider,112,0,7,26
9daa6c4bb0cd117b1befef5bc1749ffade774b81,org.zakky.memopad.CanvasFragment,117,56,8,25
