Commit,DW_Smell,IDS_Smell,IS_Smell,LT_Smell,MIM_Smell
0.46,0.15,0.13,0.67,0.09,30.24
0.46,0.15,0.13,0.67,0.09,30.24
0.46,0.15,0.13,0.67,0.09,30.24
0.46,0.15,0.13,0.67,0.09,30.24
0.46,0.15,0.13,0.67,0.09,30.24
0.46,0.15,0.13,0.67,0.09,30.24
0.46,0.15,0.13,0.67,0.09,30.24
0.46,0.15,0.13,0.67,0.09,30.24
0.47,0.15,0.13,0.67,0.09,30.24
0.47,0.15,0.13,0.67,0.09,30.24
0.47,0.15,0.13,0.67,0.09,30.24
0.47,0.15,0.13,0.67,0.09,30.24
0.47,0.15,0.13,0.67,0.09,30.24
0.47,0.15,0.13,0.67,0.09,30.24
0.47,0.15,0.13,0.67,0.09,30.24
0.46,0.15,0.13,0.69,0.09,30.74
0.46,0.15,0.13,0.69,0.09,30.74
0.46,0.15,0.13,0.69,0.09,30.74
0.46,0.15,0.13,0.69,0.09,30.74
0.47,0.15,0.13,0.69,0.09,30.74
0.47,0.15,0.13,0.69,0.09,30.74
0.47,0.15,0.13,0.69,0.09,30.74
0.47,0.15,0.13,0.69,0.09,30.74
0.47,0.15,0.13,0.69,0.09,30.74
0.46,0.15,0.13,0.7,0.09,30.66
0.46,0.15,0.13,0.7,0.09,30.66
0.46,0.15,0.13,0.7,0.09,30.66
0.46,0.15,0.13,0.7,0.09,30.66
0.46,0.15,0.13,0.7,0.09,30.66
0.46,0.15,0.13,0.7,0.09,30.66
0.47,0.15,0.13,0.7,0.09,30.66
0.47,0.15,0.13,0.7,0.09,30.66
0.47,0.15,0.13,0.7,0.09,30.66
0.47,0.15,0.13,0.7,0.09,30.66
0.47,0.15,0.13,0.7,0.09,30.66
0.47,0.15,0.13,0.7,0.09,30.66
0.47,0.15,0.13,0.7,0.09,30.66
0.47,0.15,0.13,0.7,0.09,30.66
0.47,0.15,0.13,0.7,0.09,30.66
0.47,0.15,0.13,0.7,0.09,30.66
0.47,0.15,0.13,0.7,0.09,30.66
0.47,0.15,0.13,0.7,0.09,30.66
0.47,0.15,0.13,0.7,0.09,30.66
0.48,0.15,0.13,0.7,0.09,30.66
0.48,0.15,0.13,0.7,0.09,30.66
0.48,0.15,0.13,0.7,0.09,30.66
0.48,0.15,0.13,0.7,0.09,30.66
0.48,0.15,0.13,0.7,0.09,30.66
0.48,0.15,0.13,0.7,0.09,30.66
0.48,0.15,0.13,0.7,0.09,30.66
0.48,0.15,0.13,0.7,0.09,30.66
0.47,0.15,0.13,0.71,0.1,31.12
0.47,0.15,0.13,0.71,0.1,31.12
